frame,images_centroid_x,images_centroid_y,images_delta_x,images_delta_y,images_distance,images2_centroid_x,images2_centroid_y,images2_delta_x,images2_delta_y,images2_distance,timestamp_s
365,16,19,0,1,1,16,18,0,0,0,18.25
366,15,18,-1,-1,1.414213562,17,19,1,1,1.414213562,18.3
367,18,16,3,-2,3.605551275,15,18,-2,-1,2.236067977,18.35
368,17,16,-1,0,1,16,17,1,-1,1.414213562,18.4
369,15,18,-2,2,2.828427125,,,,,,18.45
370,16,17,1,-1,1.414213562,16,17,0,0,0,18.5
371,17,16,1,-1,1.414213562,14,18,-2,1,2.236067977,18.55
372,15,18,-2,2,2.828427125,16,19,2,1,2.236067977,18.6
373,14,18,-1,0,1,16,17,0,-2,2,18.65
374,16,17,2,-1,2.236067977,15,17,-1,0,1,18.7
375,16,18,0,1,1,16,17,1,0,1,18.75
376,15,18,-1,0,1,16,17,0,0,0,18.8
377,15,18,0,0,0,16,18,0,1,1,18.85
378,16,18,1,0,1,15,18,-1,0,1,18.9
379,17,18,1,0,1,,,,,,18.95
380,18,18,1,0,1,15,18,0,0,0,19
381,17,18,-1,0,1,15,16,0,-2,2,19.05
382,19,17,2,-1,2.236067977,14,16,-1,0,1,19.1
383,17,17,-2,0,2,16,17,2,1,2.236067977,19.15
384,16,18,-1,1,1.414213562,16,17,0,0,0,19.2
385,18,17,2,-1,2.236067977,15,17,-1,0,1,19.25
386,17,18,-1,1,1.414213562,17,16,2,-1,2.236067977,19.3
387,18,18,1,0,1,16,17,-1,1,1.414213562,19.35
388,17,16,-1,-2,2.236067977,16,17,0,0,0,19.4
389,17,17,0,1,1,16,17,0,0,0,19.45
390,17,16,0,-1,1,15,17,-1,0,1,19.5
391,16,18,-1,2,2.236067977,15,17,0,0,0,19.55
392,17,16,1,-2,2.236067977,16,18,1,1,1.414213562,19.6
393,16,16,-1,0,1,16,17,0,-1,1,19.65
394,17,17,1,1,1.414213562,14,17,-2,0,2,19.7
395,15,17,-2,0,2,16,17,2,0,2,19.75
396,16,16,1,-1,1.414213562,16,18,0,1,1,19.8
397,16,15,0,-1,1,15,16,-1,-2,2.236067977,19.85
398,16,18,0,3,3,15,17,0,1,1,19.9
399,16,18,0,0,0,15,17,0,0,0,19.95
400,16,18,0,0,0,15,18,0,1,1,20
401,16,18,0,0,0,15,17,0,-1,1,20.05
402,17,19,1,1,1.414213562,,,,,,20.1
403,16,18,-1,-1,1.414213562,15,15,0,-2,2,20.15
404,16,18,0,0,0,16,16,1,1,1.414213562,20.2
405,16,19,0,1,1,15,14,-1,-2,2.236067977,20.25
